Generator,bus,p_nom_extendable,sign,carrier
IT urban central solar thermal collector,IT urban central heat,True,1.0,urban central solar thermal
LT urban central solar thermal collector,LT urban central heat,True,1.0,urban central solar thermal
LU urban central solar thermal collector,LU urban central heat,True,1.0,urban central solar thermal
LV urban central solar thermal collector,LV urban central heat,True,1.0,urban central solar thermal
ME urban central solar thermal collector,ME urban central heat,True,1.0,urban central solar thermal
MK urban central solar thermal collector,MK urban central heat,True,1.0,urban central solar thermal
NL urban central solar thermal collector,NL urban central heat,True,1.0,urban central solar thermal
NO urban central solar thermal collector,NO urban central heat,True,1.0,urban central solar thermal
PL urban central solar thermal collector,PL urban central heat,True,1.0,urban central solar thermal
PT urban central solar thermal collector,PT urban central heat,True,1.0,urban central solar thermal
RO urban central solar thermal collector,RO urban central heat,True,1.0,urban central solar thermal
RS urban central solar thermal collector,RS urban central heat,True,1.0,urban central solar thermal
SE urban central solar thermal collector,SE urban central heat,True,1.0,urban central solar thermal
SI urban central solar thermal collector,SI urban central heat,True,1.0,urban central solar thermal
SK urban central solar thermal collector,SK urban central heat,True,1.0,urban central solar thermal
XK urban central solar thermal collector,XK urban central heat,True,1.0,urban central solar thermal
AL urban central solar thermal collector electricity-only,AL electricity urban central heat,True,1.0,urban central solar thermal
AT urban central solar thermal collector electricity-only,AT electricity urban central heat,True,1.0,urban central solar thermal
BA urban central solar thermal collector electricity-only,BA electricity urban central heat,True,1.0,urban central solar thermal
BE urban central solar thermal collector electricity-only,BE electricity urban central heat,True,1.0,urban central solar thermal
BG urban central solar thermal collector electricity-only,BG electricity urban central heat,True,1.0,urban central solar thermal
CH urban central solar thermal collector electricity-only,CH electricity urban central heat,True,1.0,urban central solar thermal
CZ urban central solar thermal collector electricity-only,CZ electricity urban central heat,True,1.0,urban central solar thermal
DE urban central solar thermal collector electricity-only,DE electricity urban central heat,True,1.0,urban central solar thermal
DK urban central solar thermal collector electricity-only,DK electricity urban central heat,True,1.0,urban central solar thermal
EE urban central solar thermal collector electricity-only,EE electricity urban central heat,True,1.0,urban central solar thermal
ES urban central solar thermal collector electricity-only,ES electricity urban central heat,True,1.0,urban central solar thermal
FI urban central solar thermal collector electricity-only,FI electricity urban central heat,True,1.0,urban central solar thermal
FR urban central solar thermal collector electricity-only,FR electricity urban central heat,True,1.0,urban central solar thermal
GB urban central solar thermal collector electricity-only,GB electricity urban central heat,True,1.0,urban central solar thermal
GBI urban central solar thermal collector electricity-only,GBI electricity urban central heat,True,1.0,urban central solar thermal
GR urban central solar thermal collector electricity-only,GR electricity urban central heat,True,1.0,urban central solar thermal
HR urban central solar thermal collector electricity-only,HR electricity urban central heat,True,1.0,urban central solar thermal
HU urban central solar thermal collector electricity-only,HU electricity urban central heat,True,1.0,urban central solar thermal
IE urban central solar thermal collector electricity-only,IE electricity urban central heat,True,1.0,urban central solar thermal
IT urban central solar thermal collector electricity-only,IT electricity urban central heat,True,1.0,urban central solar thermal
LT urban central solar thermal collector electricity-only,LT electricity urban central heat,True,1.0,urban central solar thermal
LU urban central solar thermal collector electricity-only,LU electricity urban central heat,True,1.0,urban central solar thermal
LV urban central solar thermal collector electricity-only,LV electricity urban central heat,True,1.0,urban central solar thermal
ME urban central solar thermal collector electricity-only,ME electricity urban central heat,True,1.0,urban central solar thermal
MK urban central solar thermal collector electricity-only,MK electricity urban central heat,True,1.0,urban central solar thermal
NL urban central solar thermal collector electricity-only,NL electricity urban central heat,True,1.0,urban central solar thermal
NO urban central solar thermal collector electricity-only,NO electricity urban central heat,True,1.0,urban central solar thermal
PL urban central solar thermal collector electricity-only,PL electricity urban central heat,True,1.0,urban central solar thermal
PT urban central solar thermal collector electricity-only,PT electricity urban central heat,True,1.0,urban central solar thermal
RO urban central solar thermal collector electricity-only,RO electricity urban central heat,True,1.0,urban central solar thermal
RS urban central solar thermal collector electricity-only,RS electricity urban central heat,True,1.0,urban central solar thermal
SE urban central solar thermal collector electricity-only,SE electricity urban central heat,True,1.0,urban central solar thermal
SI urban central solar thermal collector electricity-only,SI electricity urban central heat,True,1.0,urban central solar thermal
SK urban central solar thermal collector electricity-only,SK electricity urban central heat,True,1.0,urban central solar thermal
XK urban central solar thermal collector electricity-only,XK electricity urban central heat,True,1.0,urban central solar thermal
AL biogas,AL biogas,False,1.0,biogas
AT biogas,AT biogas,False,1.0,biogas
BA biogas,BA biogas,False,1.0,biogas
BE biogas,BE biogas,False,1.0,biogas
BG biogas,BG biogas,False,1.0,biogas
CH biogas,CH biogas,False,1.0,biogas
CZ biogas,CZ biogas,False,1.0,biogas
DE biogas,DE biogas,False,1.0,biogas
DK biogas,DK biogas,False,1.0,biogas
EE biogas,EE biogas,False,1.0,biogas
ES biogas,ES biogas,False,1.0,biogas
FI biogas,FI biogas,False,1.0,biogas
FR biogas,FR biogas,False,1.0,biogas
GB biogas,GB biogas,False,1.0,biogas
GBI biogas,GBI biogas,False,1.0,biogas
GR biogas,GR biogas,False,1.0,biogas
HR biogas,HR biogas,False,1.0,biogas
HU biogas,HU biogas,False,1.0,biogas
IE biogas,IE biogas,False,1.0,biogas
IT biogas,IT biogas,False,1.0,biogas
LT biogas,LT biogas,False,1.0,biogas
LU biogas,LU biogas,False,1.0,biogas
LV biogas,LV biogas,False,1.0,biogas
ME biogas,ME biogas,False,1.0,biogas
MK biogas,MK biogas,False,1.0,biogas
NL biogas,NL biogas,False,1.0,biogas
NO biogas,NO biogas,False,1.0,biogas
PL biogas,PL biogas,False,1.0,biogas
PT biogas,PT biogas,False,1.0,biogas
RO biogas,RO biogas,False,1.0,biogas
RS biogas,RS biogas,False,1.0,biogas
SE biogas,SE biogas,False,1.0,biogas
SI biogas,SI biogas,False,1.0,biogas
SK biogas,SK biogas,False,1.0,biogas
XK biogas,XK biogas,False,1.0,biogas
AL solid biomass,AL solid biomass,False,1.0,solid biomass
AT solid biomass,AT solid biomass,False,1.0,solid biomass
BA solid biomass,BA solid biomass,False,1.0,solid biomass
BE solid biomass,BE solid biomass,False,1.0,solid biomass
BG solid biomass,BG solid biomass,False,1.0,solid biomass
CH solid biomass,CH solid biomass,False,1.0,solid biomass
CZ solid biomass,CZ solid biomass,False,1.0,solid biomass
DE solid biomass,DE solid biomass,False,1.0,solid biomass
DK solid biomass,DK solid biomass,False,1.0,solid biomass
EE solid biomass,EE solid biomass,False,1.0,solid biomass
ES solid biomass,ES solid biomass,False,1.0,solid biomass
FI solid biomass,FI solid biomass,False,1.0,solid biomass
FR solid biomass,FR solid biomass,False,1.0,solid biomass
GB solid biomass,GB solid biomass,False,1.0,solid biomass
GBI solid biomass,GBI solid biomass,False,1.0,solid biomass
GR solid biomass,GR solid biomass,False,1.0,solid biomass
HR solid biomass,HR solid biomass,False,1.0,solid biomass
HU solid biomass,HU solid biomass,False,1.0,solid biomass
IE solid biomass,IE solid biomass,False,1.0,solid biomass
IT solid biomass,IT solid biomass,False,1.0,solid biomass
LT solid biomass,LT solid biomass,False,1.0,solid biomass
LU solid biomass,LU solid biomass,False,1.0,solid biomass
LV solid biomass,LV solid biomass,False,1.0,solid biomass
ME solid biomass,ME solid biomass,False,1.0,solid biomass
MK solid biomass,MK solid biomass,False,1.0,solid biomass
NL solid biomass,NL solid biomass,False,1.0,solid biomass
NO solid biomass,NO solid biomass,False,1.0,solid biomass
PL solid biomass,PL solid biomass,False,1.0,solid biomass
PT solid biomass,PT solid biomass,False,1.0,solid biomass
RO solid biomass,RO solid biomass,False,1.0,solid biomass
RS solid biomass,RS solid biomass,False,1.0,solid biomass
SE solid biomass,SE solid biomass,False,1.0,solid biomass
SI solid biomass,SI solid biomass,False,1.0,solid biomass
SK solid biomass,SK solid biomass,False,1.0,solid biomass
XK solid biomass,XK solid biomass,False,1.0,solid biomass
AL biogas unsustainable,AL biogas,False,1.0,unsustainable biogas
AT biogas unsustainable,AT biogas,False,1.0,unsustainable biogas
BA biogas unsustainable,BA biogas,False,1.0,unsustainable biogas
BE biogas unsustainable,BE biogas,False,1.0,unsustainable biogas
BG biogas unsustainable,BG biogas,False,1.0,unsustainable biogas
CH biogas unsustainable,CH biogas,False,1.0,unsustainable biogas
CZ biogas unsustainable,CZ biogas,False,1.0,unsustainable biogas
DE biogas unsustainable,DE biogas,False,1.0,unsustainable biogas
DK biogas unsustainable,DK biogas,False,1.0,unsustainable biogas
EE biogas unsustainable,EE biogas,False,1.0,unsustainable biogas
ES biogas unsustainable,ES biogas,False,1.0,unsustainable biogas
FI biogas unsustainable,FI biogas,False,1.0,unsustainable biogas
FR biogas unsustainable,FR biogas,False,1.0,unsustainable biogas
GB biogas unsustainable,GB biogas,False,1.0,unsustainable biogas
GBI biogas unsustainable,GBI biogas,False,1.0,unsustainable biogas
GR biogas unsustainable,GR biogas,False,1.0,unsustainable biogas
HR biogas unsustainable,HR biogas,False,1.0,unsustainable biogas
HU biogas unsustainable,HU biogas,False,1.0,unsustainable biogas
IE biogas unsustainable,IE biogas,False,1.0,unsustainable biogas
IT biogas unsustainable,IT biogas,False,1.0,unsustainable biogas
LT biogas unsustainable,LT biogas,False,1.0,unsustainable biogas
LU biogas unsustainable,LU biogas,False,1.0,unsustainable biogas
LV biogas unsustainable,LV biogas,False,1.0,unsustainable biogas
ME biogas unsustainable,ME biogas,False,1.0,unsustainable biogas
MK biogas unsustainable,MK biogas,False,1.0,unsustainable biogas
NL biogas unsustainable,NL biogas,False,1.0,unsustainable biogas
NO biogas unsustainable,NO biogas,False,1.0,unsustainable biogas
PL biogas unsustainable,PL biogas,False,1.0,unsustainable biogas
PT biogas unsustainable,PT biogas,False,1.0,unsustainable biogas
RO biogas unsustainable,RO biogas,False,1.0,unsustainable biogas
RS biogas unsustainable,RS biogas,False,1.0,unsustainable biogas
SE biogas unsustainable,SE biogas,False,1.0,unsustainable biogas
SI biogas unsustainable,SI biogas,False,1.0,unsustainable biogas
SK biogas unsustainable,SK biogas,False,1.0,unsustainable biogas
XK biogas unsustainable,XK biogas,False,1.0,unsustainable biogas
AL unsustainable solid biomass,AL solid biomass,False,1.0,unsustainable solid biomass
AT unsustainable solid biomass,AT solid biomass,False,1.0,unsustainable solid biomass
BA unsustainable solid biomass,BA solid biomass,False,1.0,unsustainable solid biomass
BE unsustainable solid biomass,BE solid biomass,False,1.0,unsustainable solid biomass
BG unsustainable solid biomass,BG solid biomass,False,1.0,unsustainable solid biomass
CH unsustainable solid biomass,CH solid biomass,False,1.0,unsustainable solid biomass
CZ unsustainable solid biomass,CZ solid biomass,False,1.0,unsustainable solid biomass
DE unsustainable solid biomass,DE solid biomass,False,1.0,unsustainable solid biomass
DK unsustainable solid biomass,DK solid biomass,False,1.0,unsustainable solid biomass
EE unsustainable solid biomass,EE solid biomass,False,1.0,unsustainable solid biomass
ES unsustainable solid biomass,ES solid biomass,False,1.0,unsustainable solid biomass
FI unsustainable solid biomass,FI solid biomass,False,1.0,unsustainable solid biomass
FR unsustainable solid biomass,FR solid biomass,False,1.0,unsustainable solid biomass
GB unsustainable solid biomass,GB solid biomass,False,1.0,unsustainable solid biomass
GBI unsustainable solid biomass,GBI solid biomass,False,1.0,unsustainable solid biomass
GR unsustainable solid biomass,GR solid biomass,False,1.0,unsustainable solid biomass
HR unsustainable solid biomass,HR solid biomass,False,1.0,unsustainable solid biomass
HU unsustainable solid biomass,HU solid biomass,False,1.0,unsustainable solid biomass
IE unsustainable solid biomass,IE solid biomass,False,1.0,unsustainable solid biomass
IT unsustainable solid biomass,IT solid biomass,False,1.0,unsustainable solid biomass
LT unsustainable solid biomass,LT solid biomass,False,1.0,unsustainable solid biomass
LU unsustainable solid biomass,LU solid biomass,False,1.0,unsustainable solid biomass
LV unsustainable solid biomass,LV solid biomass,False,1.0,unsustainable solid biomass
ME unsustainable solid biomass,ME solid biomass,False,1.0,unsustainable solid biomass
MK unsustainable solid biomass,MK solid biomass,False,1.0,unsustainable solid biomass
NL unsustainable solid biomass,NL solid biomass,False,1.0,unsustainable solid biomass
NO unsustainable solid biomass,NO solid biomass,False,1.0,unsustainable solid biomass
PL unsustainable solid biomass,PL solid biomass,False,1.0,unsustainable solid biomass
PT unsustainable solid biomass,PT solid biomass,False,1.0,unsustainable solid biomass
RO unsustainable solid biomass,RO solid biomass,False,1.0,unsustainable solid biomass
RS unsustainable solid biomass,RS solid biomass,False,1.0,unsustainable solid biomass
SE unsustainable solid biomass,SE solid biomass,False,1.0,unsustainable solid biomass
SI unsustainable solid biomass,SI solid biomass,False,1.0,unsustainable solid biomass
SK unsustainable solid biomass,SK solid biomass,False,1.0,unsustainable solid biomass
XK unsustainable solid biomass,XK solid biomass,False,1.0,unsustainable solid biomass
AL unsustainable bioliquids,AL unsustainable bioliquids,False,1.0,unsustainable bioliquids
AT unsustainable bioliquids,AT unsustainable bioliquids,False,1.0,unsustainable bioliquids
BA unsustainable bioliquids,BA unsustainable bioliquids,False,1.0,unsustainable bioliquids
BE unsustainable bioliquids,BE unsustainable bioliquids,False,1.0,unsustainable bioliquids
