Store,bus,carrier,e_nom_extendable,sign
SE EV battery,SE EV battery,EV battery,False,1.0
SI EV battery,SI EV battery,EV battery,False,1.0
SK EV battery,SK EV battery,EV battery,False,1.0
XK EV battery,XK EV battery,EV battery,False,1.0
EU oil Store,EU oil,oil,True,1.0
AL urban central water tanks,AL urban central water tanks,urban central water tanks,True,1.0
AT urban central water tanks,AT urban central water tanks,urban central water tanks,True,1.0
BA urban central water tanks,BA urban central water tanks,urban central water tanks,True,1.0
BE urban central water tanks,BE urban central water tanks,urban central water tanks,True,1.0
BG urban central water tanks,BG urban central water tanks,urban central water tanks,True,1.0
CH urban central water tanks,CH urban central water tanks,urban central water tanks,True,1.0
CZ urban central water tanks,CZ urban central water tanks,urban central water tanks,True,1.0
DE urban central water tanks,DE urban central water tanks,urban central water tanks,True,1.0
DK urban central water tanks,DK urban central water tanks,urban central water tanks,True,1.0
EE urban central water tanks,EE urban central water tanks,urban central water tanks,True,1.0
ES urban central water tanks,ES urban central water tanks,urban central water tanks,True,1.0
FI urban central water tanks,FI urban central water tanks,urban central water tanks,True,1.0
FR urban central water tanks,FR urban central water tanks,urban central water tanks,True,1.0
GB urban central water tanks,GB urban central water tanks,urban central water tanks,True,1.0
GBI urban central water tanks,GBI urban central water tanks,urban central water tanks,True,1.0
GR urban central water tanks,GR urban central water tanks,urban central water tanks,True,1.0
HR urban central water tanks,HR urban central water tanks,urban central water tanks,True,1.0
HU urban central water tanks,HU urban central water tanks,urban central water tanks,True,1.0
IE urban central water tanks,IE urban central water tanks,urban central water tanks,True,1.0
IT urban central water tanks,IT urban central water tanks,urban central water tanks,True,1.0
LT urban central water tanks,LT urban central water tanks,urban central water tanks,True,1.0
LU urban central water tanks,LU urban central water tanks,urban central water tanks,True,1.0
LV urban central water tanks,LV urban central water tanks,urban central water tanks,True,1.0
ME urban central water tanks,ME urban central water tanks,urban central water tanks,True,1.0
MK urban central water tanks,MK urban central water tanks,urban central water tanks,True,1.0
NL urban central water tanks,NL urban central water tanks,urban central water tanks,True,1.0
NO urban central water tanks,NO urban central water tanks,urban central water tanks,True,1.0
PL urban central water tanks,PL urban central water tanks,urban central water tanks,True,1.0
PT urban central water tanks,PT urban central water tanks,urban central water tanks,True,1.0
RO urban central water tanks,RO urban central water tanks,urban central water tanks,True,1.0
RS urban central water tanks,RS urban central water tanks,urban central water tanks,True,1.0
SE urban central water tanks,SE urban central water tanks,urban central water tanks,True,1.0
SI urban central water tanks,SI urban central water tanks,urban central water tanks,True,1.0
SK urban central water tanks,SK urban central water tanks,urban central water tanks,True,1.0
XK urban central water tanks,XK urban central water tanks,urban central water tanks,True,1.0
AL urban central water pits,AL urban central water pits,urban central water pits,True,1.0
AT urban central water pits,AT urban central water pits,urban central water pits,True,1.0
BA urban central water pits,BA urban central water pits,urban central water pits,True,1.0
BE urban central water pits,BE urban central water pits,urban central water pits,True,1.0
BG urban central water pits,BG urban central water pits,urban central water pits,True,1.0
CH urban central water pits,CH urban central water pits,urban central water pits,True,1.0
CZ urban central water pits,CZ urban central water pits,urban central water pits,True,1.0
DE urban central water pits,DE urban central water pits,urban central water pits,True,1.0
DK urban central water pits,DK urban central water pits,urban central water pits,True,1.0
EE urban central water pits,EE urban central water pits,urban central water pits,True,1.0
ES urban central water pits,ES urban central water pits,urban central water pits,True,1.0
FI urban central water pits,FI urban central water pits,urban central water pits,True,1.0
FR urban central water pits,FR urban central water pits,urban central water pits,True,1.0
GB urban central water pits,GB urban central water pits,urban central water pits,True,1.0
GBI urban central water pits,GBI urban central water pits,urban central water pits,True,1.0
GR urban central water pits,GR urban central water pits,urban central water pits,True,1.0
HR urban central water pits,HR urban central water pits,urban central water pits,True,1.0
HU urban central water pits,HU urban central water pits,urban central water pits,True,1.0
IE urban central water pits,IE urban central water pits,urban central water pits,True,1.0
IT urban central water pits,IT urban central water pits,urban central water pits,True,1.0
LT urban central water pits,LT urban central water pits,urban central water pits,True,1.0
LU urban central water pits,LU urban central water pits,urban central water pits,True,1.0
LV urban central water pits,LV urban central water pits,urban central water pits,True,1.0
ME urban central water pits,ME urban central water pits,urban central water pits,True,1.0
MK urban central water pits,MK urban central water pits,urban central water pits,True,1.0
NL urban central water pits,NL urban central water pits,urban central water pits,True,1.0
NO urban central water pits,NO urban central water pits,urban central water pits,True,1.0
PL urban central water pits,PL urban central water pits,urban central water pits,True,1.0
PT urban central water pits,PT urban central water pits,urban central water pits,True,1.0
RO urban central water pits,RO urban central water pits,urban central water pits,True,1.0
RS urban central water pits,RS urban central water pits,urban central water pits,True,1.0
SE urban central water pits,SE urban central water pits,urban central water pits,True,1.0
SI urban central water pits,SI urban central water pits,urban central water pits,True,1.0
SK urban central water pits,SK urban central water pits,urban central water pits,True,1.0
XK urban central water pits,XK urban central water pits,urban central water pits,True,1.0
EU NH3 ammonia store,EU NH3,ammonia store,True,1.0
EU methanol Store,EU methanol,methanol,True,1.0
AL non-sequestered HVC,AL non-sequestered HVC,non-sequestered HVC,False,1.0
AT non-sequestered HVC,AT non-sequestered HVC,non-sequestered HVC,False,1.0
BA non-sequestered HVC,BA non-sequestered HVC,non-sequestered HVC,False,1.0
BE non-sequestered HVC,BE non-sequestered HVC,non-sequestered HVC,False,1.0
BG non-sequestered HVC,BG non-sequestered HVC,non-sequestered HVC,False,1.0
CH non-sequestered HVC,CH non-sequestered HVC,non-sequestered HVC,False,1.0
CZ non-sequestered HVC,CZ non-sequestered HVC,non-sequestered HVC,False,1.0
DE non-sequestered HVC,DE non-sequestered HVC,non-sequestered HVC,False,1.0
DK non-sequestered HVC,DK non-sequestered HVC,non-sequestered HVC,False,1.0
EE non-sequestered HVC,EE non-sequestered HVC,non-sequestered HVC,False,1.0
