Link,bus0,bus1,carrier,p_nom_extendable,bus4,bus3,bus2
PL H2 turbine,PL H2,PL,H2 turbine,True,,,
PT H2 turbine,PT H2,PT,H2 turbine,True,,,
RO H2 turbine,RO H2,RO,H2 turbine,True,,,
RS H2 turbine,RS H2,RS,H2 turbine,True,,,
SE H2 turbine,SE H2,SE,H2 turbine,True,,,
SI H2 turbine,SI H2,SI,H2 turbine,True,,,
SK H2 turbine,SK H2,SK,H2 turbine,True,,,
XK H2 turbine,XK H2,XK,H2 turbine,True,,,
gas pipeline AL -> IT,AL gas,IT gas,gas pipeline,False,,,AL
gas pipeline AT -> DE,AT gas,DE gas,gas pipeline,False,,,AT
gas pipeline AT -> HU,AT gas,HU gas,gas pipeline,False,,,AT
gas pipeline AT -> SI,AT gas,SI gas,gas pipeline,False,,,AT
gas pipeline AT -> SK,AT gas,SK gas,gas pipeline,False,,,AT
gas pipeline AT <-> DE,AT gas,DE gas,gas pipeline,False,,,AT
gas pipeline AT <-> IT,AT gas,IT gas,gas pipeline,False,,,AT
gas pipeline BA -> RS,BA gas,RS gas,gas pipeline,False,,,BA
gas pipeline BE -> FR,BE gas,FR gas,gas pipeline,False,,,BE
gas pipeline BE -> LU,BE gas,LU gas,gas pipeline,False,,,BE
gas pipeline BE -> NL,BE gas,NL gas,gas pipeline,False,,,BE
gas pipeline BE <-> NL,BE gas,NL gas,gas pipeline,False,,,BE
gas pipeline BG -> MK,BG gas,MK gas,gas pipeline,False,,,BG
gas pipeline BG -> RO,BG gas,RO gas,gas pipeline,False,,,BG
gas pipeline BG <-> GR,BG gas,GR gas,gas pipeline,False,,,BG
gas pipeline BG <-> RO,BG gas,RO gas,gas pipeline,False,,,BG
gas pipeline CH -> AT,CH gas,AT gas,gas pipeline,False,,,CH
gas pipeline CH -> DE,CH gas,DE gas,gas pipeline,False,,,CH
gas pipeline CH <-> DE,CH gas,DE gas,gas pipeline,False,,,CH
gas pipeline CH <-> FR,CH gas,FR gas,gas pipeline,False,,,CH
gas pipeline CH <-> IT,CH gas,IT gas,gas pipeline,False,,,CH
gas pipeline CZ -> PL,CZ gas,PL gas,gas pipeline,False,,,CZ
gas pipeline CZ <-> DE,CZ gas,DE gas,gas pipeline,False,,,CZ
gas pipeline CZ <-> SK,CZ gas,SK gas,gas pipeline,False,,,CZ
gas pipeline DE -> AT,DE gas,AT gas,gas pipeline,False,,,DE
gas pipeline DE -> BE,DE gas,BE gas,gas pipeline,False,,,DE
gas pipeline DE -> CH,DE gas,CH gas,gas pipeline,False,,,DE
gas pipeline DE -> CZ,DE gas,CZ gas,gas pipeline,False,,,DE
gas pipeline DE -> FR,DE gas,FR gas,gas pipeline,False,,,DE
gas pipeline DE -> LU,DE gas,LU gas,gas pipeline,False,,,DE
gas pipeline DE -> NL,DE gas,NL gas,gas pipeline,False,,,DE
gas pipeline DE -> PL,DE gas,PL gas,gas pipeline,False,,,DE
gas pipeline DE <-> AT,DE gas,AT gas,gas pipeline,False,,,DE
gas pipeline DE <-> CZ,DE gas,CZ gas,gas pipeline,False,,,DE
gas pipeline DE <-> NL,DE gas,NL gas,gas pipeline,False,,,DE
gas pipeline DE <-> PL,DE gas,PL gas,gas pipeline,False,,,DE
gas pipeline DK -> DE,DK gas,DE gas,gas pipeline,False,,,DK
gas pipeline DK -> NO,DK gas,NO gas,gas pipeline,False,,,DK
gas pipeline DK -> SE,DK gas,SE gas,gas pipeline,False,,,DK
gas pipeline DK <-> DE,DK gas,DE gas,gas pipeline,False,,,DK
gas pipeline EE -> LV,EE gas,LV gas,gas pipeline,False,,,EE
gas pipeline ES -> FR,ES gas,FR gas,gas pipeline,False,,,ES
gas pipeline ES <-> FR,ES gas,FR gas,gas pipeline,False,,,ES
